TIPO;ESPESOR;DIAMETRO;PULGADA;UNIDAD;PRECIO AISLAMIENTO;PRECIO ALUMINIO
TUBO;6;15;"1/4""";Ml;1,30;
TUBO;6;18;"3/8""";Ml;1,30;
TUBO;6;22;"1/2""";Ml;1,30;
TUBO;6;28;"3/4""";Ml;1,30;
TUBO;6;35;"1""";Ml;1,30;
TUBO;6;42;"1""1/4";Ml;1,30;
TUBO;9;15;"1/4""";Ml;1,30;
TUBO;9;18;"3/8""";Ml;1,30;
TUBO;9;22;"1/2""";Ml;1,30;
TUBO;9;28;"3/4""";Ml;1,30;
TUBO;9;35;"1""";Ml;1,30;
TUBO;9;42;"1""1/4";Ml;1,30;
TUBO;9;48;"1""1/2";Ml;1,30;
TUBO;9;60;"2""";Ml;1,30;
TUBO;9;76;"2""1/2";Ml;1,30;
TUBO;9;89;"3""";Ml;1,30;
TUBO;9;114;"4""";Ml;2,16;
TUBO;9;140;"5""";Ml;2,16;
TUBO;9;170;"6""";Ml;2,16;
TUBO;13;15;"1/4""";Ml;1,30;
TUBO;13;18;"3/8""";Ml;1,30;
TUBO;13;22;"1/2""";Ml;1,30;
TUBO;13;28;"3/4""";Ml;1,30;
TUBO;13;35;"1""";Ml;1,30;
TUBO;13;42;"1""1/4";Ml;1,30;
TUBO;13;48;"1""1/2";Ml;1,30;
TUBO;13;60;"2""";Ml;1,30;
TUBO;13;76;"2""1/2";Ml;1,30;
TUBO;13;89;"3""";Ml;1,30;
TUBO;13;114;"4""";Ml;1,30;
TUBO;13;140;"5""";Ml;2,16;
TUBO;13;170;"6""";Ml;2,16;
TUBO;19;15;"1/4""";Ml;1,30;
TUBO;19;18;"3/8""";Ml;1,30;
TUBO;19;22;"1/2""";Ml;1,30;
TUBO;19;28;"3/4""";Ml;1,30;
TUBO;19;35;"1""";Ml;1,30;
TUBO;19;42;"1""1/4";Ml;1,30;
TUBO;19;48;"1""1/2";Ml;1,30;
TUBO;19;60;"2""";Ml;1,30;
TUBO;19;76;"2""1/2";Ml;1,30;
TUBO;19;89;"3""";Ml;1,30;
TUBO;19;114;"4""";Ml;2,16;
TUBO;19;140;"5""";Ml;2,16;
TUBO;19;170;"6""";Ml;2,16;
TUBO;25;15;"1/4""";Ml;1,30;
TUBO;25;18;"3/8""";Ml;1,30;
TUBO;25;22;"1/2""";Ml;1,30;4,12
TUBO;25;28;"3/4""";Ml;1,30;4,12
TUBO;25;35;"1""";Ml;1,30;4,12
TUBO;25;42;"1""1/4";Ml;1,30;4,64
TUBO;25;48;"1""1/2";Ml;1,30;4,64
TUBO;25;60;"2""";Ml;1,30;4,64
TUBO;25;76;"2""1/2";Ml;1,30;4,64
TUBO;25;89;"3""";Ml;1,30;5,67
TUBO;25;114;"4""";Ml;2,16;5,67
TUBO;25;140;"5""";Ml;2,16;5,67
TUBO;25;170;"6""";Ml;2,16;5,67
TUBO;32;15;"1/4""";Ml;1,30;
TUBO;32;18;"3/8""";Ml;1,30;
TUBO;32;22;"1/2""";Ml;1,30;4,64
TUBO;32;28;"3/4""";Ml;1,30;4,64
TUBO;32;35;"1""";Ml;1,30;4,64
TUBO;32;42;"1""1/4";Ml;1,30;5,15
TUBO;32;48;"1""1/2";Ml;1,30;5,15
TUBO;32;60;"2""";Ml;1,30;5,15
TUBO;32;76;"2""1/2";Ml;1,30;5,15
TUBO;32;89;"3""";Ml;1,30;6,18
TUBO;32;114;"4""";Ml;2,16;6,70
TUBO;32;140;"5""";Ml;2,16;8,24
TUBO;32;170;"6""";Ml;2,16;8,24
TUBO;40;15;"1/4""";Ml;1,30;
TUBO;40;18;"3/8""";Ml;1,30;
TUBO;40;22;"1/2""";Ml;1,30;5,15
TUBO;40;28;"3/4""";Ml;1,30;5,15
TUBO;40;35;"1""";Ml;1,30;5,15
TUBO;40;42;"1""1/4";Ml;1,73;5,67
TUBO;40;48;"1""1/2";Ml;1,73;5,67
TUBO;40;60;"2""";Ml;2,16;5,67
TUBO;40;76;"2""1/2";Ml;2,16;5,67
TUBO;40;89;"3""";Ml;2,16;6,70
TUBO;40;114;"4""";Ml;2,60;7,21
TUBO;40;140;"5""";Ml;2,60;8,24
TUBO;40;170;"6""";Ml;2,60;9,27
TUBO;50;22;"1/2""";Ml;1,73;6,18
TUBO;50;28;"3/4""";Ml;1,73;6,18
TUBO;50;35;"1""";Ml;1,73;6,18
TUBO;50;42;"1""1/4";Ml;2,60;6,70
TUBO;50;48;"1""1/2";Ml;2,60;6,70
TUBO;50;60;"2""";Ml;3,25;6,70
TUBO;50;76;"2""1/2";Ml;3,90;6,70
TUBO;50;89;"3""";Ml;3,90;7,21
TUBO;50;114;"4""";Ml;4,12;8,24
TUBO;50;140;"5""";Ml;4,12;9,27
TUBO;50;170;"6""";Ml;4,12;9,27
TUBO;60;114;"4""";Ml;5,71;10,30
TUBO;60;140;"5""";Ml;6,20;10,30
TUBO;60;170;"6""";Ml;6,20;10,30
CODO;6;15;"1/4""";Ud;1,30;
CODO;6;18;"3/8""";Ud;1,30;
CODO;6;22;"1/2""";Ud;1,30;
CODO;6;28;"3/4""";Ud;1,30;
CODO;6;35;"1""";Ud;1,30;
CODO;6;42;"1""1/4";Ud;1,30;
CODO;9;15;"1/4""";Ud;1,30;
CODO;9;18;"3/8""";Ud;1,30;
CODO;9;22;"1/2""";Ud;1,30;
CODO;9;28;"3/4""";Ud;1,30;
CODO;9;35;"1""";Ud;1,30;
CODO;9;42;"1""1/4";Ud;1,30;
CODO;9;48;"1""1/2";Ud;1,30;
CODO;9;60;"2""";Ud;1,30;
CODO;9;76;"2""1/2";Ud;1,30;
CODO;9;89;"3""";Ud;1,30;
CODO;9;114;"4""";Ud;2,16;
CODO;9;140;"5""";Ud;2,16;
CODO;9;170;"6""";Ud;2,16;
CODO;13;15;"1/4""";Ud;1,30;
CODO;13;18;"3/8""";Ud;1,30;
CODO;13;22;"1/2""";Ud;1,30;
CODO;13;28;"3/4""";Ud;1,30;
CODO;13;35;"1""";Ud;1,30;
CODO;13;42;"1""1/4";Ud;1,30;
CODO;13;48;"1""1/2";Ud;1,30;
CODO;13;60;"2""";Ud;1,30;
CODO;13;76;"2""1/2";Ud;1,30;
CODO;13;89;"3""";Ud;1,30;
CODO;13;114;"4""";Ud;1,30;
CODO;13;140;"5""";Ud;2,16;
CODO;13;170;"6""";Ud;2,16;
CODO;19;15;"1/4""";Ud;1,30;
CODO;19;18;"3/8""";Ud;1,30;
CODO;19;22;"1/2""";Ud;1,30;
CODO;19;28;"3/4""";Ud;1,30;
CODO;19;35;"1""";Ud;1,30;
CODO;19;42;"1""1/4";Ud;1,30;
CODO;19;48;"1""1/2";Ud;1,30;
CODO;19;60;"2""";Ud;1,30;
CODO;19;76;"2""1/2";Ud;1,30;
CODO;19;89;"3""";Ud;1,30;
CODO;19;114;"4""";Ud;2,16;
CODO;19;140;"5""";Ud;2,16;
CODO;19;170;"6""";Ud;2,16;
CODO;25;15;"1/4""";Ud;1,30;
CODO;25;18;"3/8""";Ud;1,30;
CODO;25;22;"1/2""";Ud;1,30;4,12
CODO;25;28;"3/4""";Ud;1,30;4,12
CODO;25;35;"1""";Ud;1,30;4,12
CODO;25;42;"1""1/4";Ud;1,30;4,64
CODO;25;48;"1""1/2";Ud;1,30;4,64
CODO;25;60;"2""";Ud;1,30;4,64
CODO;25;76;"2""1/2";Ud;1,30;4,64
CODO;25;89;"3""";Ud;1,30;5,67
CODO;25;114;"4""";Ud;2,16;5,67
CODO;25;140;"5""";Ud;2,16;5,67
CODO;25;170;"6""";Ud;2,16;5,67
CODO;32;15;"1/4""";Ud;1,30;
CODO;32;18;"3/8""";Ud;1,30;
CODO;32;22;"1/2""";Ud;1,30;4,64
CODO;32;28;"3/4""";Ud;1,30;4,64
CODO;32;35;"1""";Ud;1,30;4,64
CODO;32;42;"1""1/4";Ud;1,30;5,15
CODO;32;48;"1""1/2";Ud;1,30;5,15
CODO;32;60;"2""";Ud;1,30;5,15
CODO;32;76;"2""1/2";Ud;1,30;5,15
CODO;32;89;"3""";Ud;1,30;6,18
CODO;32;114;"4""";Ud;2,16;6,70
CODO;32;140;"5""";Ud;2,16;8,24
CODO;32;170;"6""";Ud;2,16;8,24
CODO;40;15;"1/4""";Ud;1,30;
CODO;40;18;"3/8""";Ud;1,30;
CODO;40;22;"1/2""";Ud;1,30;5,15
CODO;40;28;"3/4""";Ud;1,30;5,15
CODO;40;35;"1""";Ud;1,30;5,15
CODO;40;42;"1""1/4";Ud;1,73;5,67
CODO;40;48;"1""1/2";Ud;1,73;5,67
CODO;40;60;"2""";Ud;2,16;5,67
CODO;40;76;"2""1/2";Ud;2,16;5,67
CODO;40;89;"3""";Ud;2,16;6,70
CODO;40;114;"4""";Ud;2,60;7,21
CODO;40;140;"5""";Ud;2,60;8,24
CODO;40;170;"6""";Ud;2,60;9,27
CODO;50;22;"1/2""";Ud;1,73;6,18
CODO;50;28;"3/4""";Ud;1,73;6,18
CODO;50;35;"1""";Ud;1,73;6,18
CODO;50;42;"1""1/4";Ud;2,60;6,70
CODO;50;48;"1""1/2";Ud;2,60;6,70
CODO;50;60;"2""";Ud;3,25;6,70
CODO;50;76;"2""1/2";Ud;3,90;6,70
CODO;50;89;"3""";Ud;3,90;7,21
CODO;50;114;"4""";Ud;4,12;8,24
CODO;50;140;"5""";Ud;4,12;9,27
CODO;50;170;"6""";Ud;4,12;9,27
CODO;60;114;"4""";Ud;5,71;10,30
CODO;60;140;"5""";Ud;6,20;10,30
CODO;60;170;"6""";Ud;6,20;10,30
TAPA;6;15;"1/4""";Ud;0,65;0,00
TAPA;6;18;"3/8""";Ud;0,65;0,00
TAPA;6;22;"1/2""";Ud;0,65;0,00
TAPA;6;28;"3/4""";Ud;0,65;0,00
TAPA;6;35;"1""";Ud;0,65;0,00
TAPA;6;42;"1""1/4";Ud;0,65;0,00
TAPA;9;15;"1/4""";Ud;0,65;0,00
TAPA;9;18;"3/8""";Ud;0,65;0,00
TAPA;9;22;"1/2""";Ud;0,65;0,00
TAPA;9;28;"3/4""";Ud;0,65;0,00
TAPA;9;35;"1""";Ud;0,65;0,00
TAPA;9;42;"1""1/4";Ud;0,65;0,00
TAPA;9;48;"1""1/2";Ud;0,65;0,00
TAPA;9;60;"2""";Ud;0,65;0,00
TAPA;9;76;"2""1/2";Ud;0,65;0,00
TAPA;9;89;"3""";Ud;0,65;0,00
TAPA;9;114;"4""";Ud;1,08;0,00
TAPA;9;140;"5""";Ud;1,08;0,00
TAPA;9;170;"6""";Ud;1,08;0,00
TAPA;13;15;"1/4""";Ud;0,65;0,00
TAPA;13;18;"3/8""";Ud;0,65;0,00
TAPA;13;22;"1/2""";Ud;0,65;0,00
TAPA;13;28;"3/4""";Ud;0,65;0,00
TAPA;13;35;"1""";Ud;0,65;0,00
TAPA;13;42;"1""1/4";Ud;0,65;0,00
TAPA;13;48;"1""1/2";Ud;0,65;0,00
TAPA;13;60;"2""";Ud;0,65;0,00
TAPA;13;76;"2""1/2";Ud;0,65;0,00
TAPA;13;89;"3""";Ud;0,65;0,00
TAPA;13;114;"4""";Ud;0,65;0,00
TAPA;13;140;"5""";Ud;1,08;0,00
TAPA;13;170;"6""";Ud;1,08;0,00
TAPA;19;15;"1/4""";Ud;0,65;0,00
TAPA;19;18;"3/8""";Ud;0,65;0,00
TAPA;19;22;"1/2""";Ud;0,65;0,00
TAPA;19;28;"3/4""";Ud;0,65;0,00
TAPA;19;35;"1""";Ud;0,65;0,00
TAPA;19;42;"1""1/4";Ud;0,65;0,00
TAPA;19;48;"1""1/2";Ud;0,65;0,00
TAPA;19;60;"2""";Ud;0,65;0,00
TAPA;19;76;"2""1/2";Ud;0,65;0,00
TAPA;19;89;"3""";Ud;0,65;0,00
TAPA;19;114;"4""";Ud;1,08;0,00
TAPA;19;140;"5""";Ud;1,08;0,00
TAPA;19;170;"6""";Ud;1,08;0,00
TAPA;25;15;"1/4""";Ud;0,65;0,00
TAPA;25;18;"3/8""";Ud;0,65;0,00
TAPA;25;22;"1/2""";Ud;0,65;2,06
TAPA;25;28;"3/4""";Ud;0,65;2,06
TAPA;25;35;"1""";Ud;0,65;2,06
TAPA;25;42;"1""1/4";Ud;0,65;2,32
TAPA;25;48;"1""1/2";Ud;0,65;2,32
TAPA;25;60;"2""";Ud;0,65;2,32
TAPA;25;76;"2""1/2";Ud;0,65;2,32
TAPA;25;89;"3""";Ud;0,65;2,84
TAPA;25;114;"4""";Ud;1,08;2,84
TAPA;25;140;"5""";Ud;1,08;2,84
TAPA;25;170;"6""";Ud;1,08;2,84
TAPA;32;15;"1/4""";Ud;0,65;0,00
TAPA;32;18;"3/8""";Ud;0,65;0,00
TAPA;32;22;"1/2""";Ud;0,65;2,32
TAPA;32;28;"3/4""";Ud;0,65;2,32
TAPA;32;35;"1""";Ud;0,65;2,32
TAPA;32;42;"1""1/4";Ud;0,65;2,58
TAPA;32;48;"1""1/2";Ud;0,65;2,58
TAPA;32;60;"2""";Ud;0,65;2,58
TAPA;32;76;"2""1/2";Ud;0,65;2,58
TAPA;32;89;"3""";Ud;0,65;3,09
